Financial Ratio,GPM_0,OPM_0,OPER_MARGIN_VALUE,PM_0,ROA_0,ROI_0,ROE_VALUE,ROC_0,ROCE_0,EV_1_VALUE,EV_2_VALUE,EBIT_DEFAULT,EBIT_VALUE,EBIT_VALUE_0,EBITDA_DEFAULT,EBITDA_VALUE,EBITDA_VALUE_0,EV_1_EBITDA_VALUE,EV_2_EBITDA_VALUE,EV_1_EBITDA_VALUE_0,EV_2_EBITDA_VALUE_0,EV_1_EBITDA_DEFAULT,EV_2_EBITDA_DEFAULT,EPS_VALUE,DPS_VALUE,DPS_00,DPS_02,DPS_03,DPS_10,DPS_12,DPS_13,DPS_20,DPS_22,DPS_23,PE_1_VALUE,PE_2_0_VALUE,PE_2_1_VALUE,PE_00,PE_01,PE_02,RR_0,RR_2,RR_3,DY_1_VALUE,DY_2_VALUE,DY_2_VALUE_00,DY_2_VALUE_02,DY_2_VALUE_03,DY_2_VALUE_04,DY_2_VALUE_06,DY_2_VALUE_07,DY_2_VALUE_08,DY_2_VALUE_10,DY_2_VALUE_11,DY_0,DY_0_00,DY_0_02,DY_0_03,DY_0_04,DY_0_06,DY_0_07,DY_0_08,DY_0_10,DY_0_11,Div_VALUE,Div_VALUE_1,Div_VALUE_2,PSD_0,MCAP_VALUE,BV_0,MB_0,MVPS_0,MVPS_PRICE_0,BVPS_0,SGR_0,SGR_2,SGR_3,RD_VALUE,Cur_R_VALUE,QR_1_VALUE,QR_2_VALUE,QR_VALUE,Cas_R_VALUE,NWC_VALUE,NWC_TA_VALUE,IM_VALUE,DE_VALUE,DE_VALUE_0,NE_VALUE_0,DE_DEFAULT,NE_DEFAULT,DR_VALUE,ER_VALUE,DER_VALUE,EM_VALUE,FE_VALUE,LTDR_VALUE,TIE_VALUE,CC_VALUE,DSCR_VALUE,EQUITY_MULTIPLIER,Tax_VALUE,FCF_0_VALUE,FCF_1_VALUE,FCF_2_VALUE,FCF_3_VALUE,FCF_DEFAULT,IT_VALUE,DSI_VALUE,RT_VALUE,DSR_VALUE,TOT_ASSET_TURNOVER,TATO_VALUE,CI_VALUE,FAT_VALUE,NWCT_VALUE,Open,High,Low,Close,Adj Close,Volume
2016-06-30,0.621860465116279,0.2846046511627907,-4722.0,0.2268372093023256,0.0316088974152904,0.0381376144636726,0.1525504578546907,0.0369240320407019,0.0435776299552394,473434973.965278,23620503.0962355,5968.0,435.0,6119.0,9893.0,4360.0,10044.0,108586.0032030454,5417.54658170539,47136.09856285125,2351.702817227748,47855.55180079632,2387.597603986202,0.0070953869073598,-0.0023030546389892,0.0066211002287051,-7.102904613092641,-6.99290461309264,6.6347365183514455,-7117.53318859955,-7007.306641377896,6.532089399220832,-7007.416641377897,-6898.895427516916,97.07504079665328,98.39785335714284,96.87552369901546,2.054727507661667e-07,2.050504452328381e-10,2.0827266651506846e-10,0.066844371539881,1002.0595201968424,986.5564896452736,335170.3656147987,-0.0033436482031344,9.612724556200135e-06,-0.0103122235332746,-0.0101525220237584,0.0096325221565703,-10.33346176591576,-10.17343134791528,0.0094834957940917,-10.1735910494248,-10.01603648880548,-1579697.4757899535,4541505.503676613,-4871981887.934494,-4796531345.25299,4550858825.985505,-4882015833031.345,-4806409898433.325,4480451727.41189,-4806485348976.007,-4732049126446.3125,4551.0,-4882167.28,-4806559.0,-682471.0,0.0010020906054865,127879.0,7.836240551510373e-09,1.457908665605479e-09,2.1166383148535385e-12,0.1860469514714526,0.0101971394834179,152.86463860368005,150.499644194903,3363.0,5.434404013609365,5.198431463006747,5.260480941122196,-2.0034023412721296,0.7858255002595006,76897.0,0.4983861768594613,0.0064719600426016,0.9639908256880734,0.4184587813620071,-0.9382716049382716,0.4248458506014353,-0.9525927423430708,0.0272405568662017,0.8288116039716901,0.0328670070926422,1.206546813784906,0.4696158086941562,0.0152776387423669,39.52317880794702,55.58940397350993,1.0020107873074722,1.206546813784906,0.2029743422127798,-4967.793838862559,16185.5,2635.5,-437.5,-557.8508743258699,0.0630335170841765,5790.570110701106,0.3456272462775971,1056.0510027234463,0.1393461747854717,0.026177637207373,38.200544689279525,0.0672561361441369,0.0525248059092032,685.469971,692.320007,683.650024,692.099976,692.099976,1597714
2016-09-30,0.6125339628524342,0.2692530399536769,4172.0,0.225424257271391,0.0316415334983869,0.0377396478825977,0.1509585915303908,0.0366630204069805,0.0396017167381974,533938798.16163,27450134.8816575,5767.0,654.0,6045.0,9404.0,4291.0,9682.0,124432.25312552552,6397.141664334072,55147.57262565896,2835.171956378589,56777.83902186623,2918.984993795991,0.0073630824560484,-0.0095963034736407,0.0103790219801323,-7.352636917543952,-7.242636917543951,10.374676941315949,-7349.558834380558,-7239.604884410196,10.219620628334322,-7239.714884410196,-7131.404267931239,105.50065168180794,107.14620655172412,105.54483661684782,2.233067215917321e-07,2.234002451181768e-10,2.2678976607859046e-10,-0.4096028452874926,999.5813633669236,984.6419679905156,191045.930212766,-0.012353475759226,1.3361081877853066e-05,-0.009465167725965,-0.0093235629572905,0.0133554884395214,-9.461205260016698,-9.319659772285815,0.0131558819546916,-9.31980137705449,-9.180371378950024,-5836365.935802725,6312406.698910953,-4471792681.604154,-4404891894.785378,6309764094.223912,-4469920625372.11,-4403047845673.48,6215460554.772196,-4403114746460.299,-4337241424066.947,7134.0,-5053820.28,-4978212.0,-682287.0,0.0011301553179757,134103.0,8.427517042689247e-09,1.644225804069781e-09,2.116638314853538e-12,0.1951020443792664,-0.0618330686114404,150.89539473389857,148.6401646495604,3596.0,6.880262514836278,6.635132304684773,6.7032046359003,-2.7938979264120647,0.6567059973469245,84223.0,0.5265648835871658,0.0068723559411008,0.9177347937543696,0.4067341458376368,-0.5647593472423053,0.418757975329647,-0.5814547001276053,0.0246205016630404,0.8384162352764648,0.029365487722124,1.1927249949665557,0.4578719342594871,0.0285277562463326,20.744604316546763,34.42446043165467,1.003108916652128,1.1927249949665557,0.1627791563275434,-12888.457568238213,9015.0,4149.0,-8375.0,-8607.747394540944,0.0627801072436364,5813.943556730658,0.3663911845730027,996.203007518797,0.1403643684197364,0.0274401680546177,36.44292549555708,0.0714797563597277,0.0521116559609607,776.330017,780.940002,774.090027,777.289978,777.289978,1585333
2016-12-31,0.6107541651896491,0.2675248138957816,-54236.0,0.2157701169797944,0.1162886499459691,0.140093213268506,0.560372853074024,0.1362374187772345,0.1573294591385223,534265292.5857181,28220886.6220745,23716.0,877.0,24150.0,26781.0,3942.0,27215.0,135531.53033630594,7159.027555067098,19631.28027138409,1036.9607430488518,19949.41535363571,1053.7652299045778,0.0283379016160663,0.0006401415294726,0.0148571029522163,-28.29166209838393,-27.821662098383936,14.84771742478694,-28273.789692740527,-27804.08660108841,14.601304035321904,-27804.556601088407,-27342.64872317487,27.42916585818452,27.90969491921005,27.446504360875707,5.805762339990589e-08,5.809432273902425e-11,5.907472962187314e-11,0.4757161926275798,999.3682801108944,982.7827189649862,514896.0568267538,0.0008235608902657,1.911409957135027e-05,-0.036398054730235,-0.035793385917787,0.0191020248144887,-36.37506135513719,-35.77077452400432,0.018785006747299,-35.77137919281677,-35.17712113324578,389089.0968411691,9030404.220322773,-17196161703.58969,-16910487572.017591,9024699534.370129,-17185298546225.256,-16899804880683.871,8874925213.0017,-16900090554815.443,-16619334955051.057,10212.0,-19446217.36,-19123163.8,-667870.0,0.0011308463885833,139036.0,8.133479016825621e-09,1.6452312199691666e-09,2.1166383148535385e-12,0.2022789038449228,0.2665784401162289,560.0188543974222,550.724756178256,13948.0,6.290761518262115,5.996061112437336,6.017724994031989,-2.090833134399618,0.7709477202196228,88652.0,0.5292751511967378,0.0067989473611249,0.9982242516489092,0.1445893808561455,-0.3300753261069263,0.1469325267913819,-0.3354243680221052,0.0234929580828313,0.830080538755918,0.0283020224977703,1.2047023792399092,0.4465677953911217,0.027523064117898,54.64516129032258,66.78110599078342,1.0049082419166273,1.2047023792399092,0.1934575569358178,-18192.66227743271,71372.0,5785.5,578.0,227.9605797101467,0.2501958103701172,1458.8573623996815,1.2357643064299355,295.363766456783,0.5389469662143203,0.1043003755291139,9.58769318832284,0.2813702910338385,0.1970626720209358,782.75,782.780029,770.409973,771.820007,771.820007,1769950
2017-03-31,0.6042424242424242,0.2755151515151515,-15202.0,0.2192323232323232,0.0314084604876241,0.0374338560459195,0.1497354241836783,0.0364439907042972,0.0417015873015873,573265078.9299585,31261631.385681,6568.0,216.0,6819.0,6955.0,603.0,7206.0,950688.3564344252,51843.50146879104,79553.85497223958,4338.278016330974,82424.88553989338,4494.842758545075,0.0078490596606648,-0.0001186182993318,0.0036279840820028,-7.842150940339335,-7.722150940339336,3.6284187246590487,-7843.090451990416,-7723.076075654258,3.5729524511610764,-7723.196075654258,-7605.016313988206,105.65150735900453,107.2787819534282,105.6388515286624,2.2108097901887898e-07,2.2105449607100375e-10,2.2448613119759115e-10,0.5377810541835606,1000.119802801327,984.8313472171028,553707.5495453485,-0.0001430402845278,4.37493943409455e-06,-0.0094567491536709,-0.0093120426940435,0.0043754635640943,-9.457882098711014,-9.31315830284434,0.0043085774968725,-9.313303009303969,-9.170791551718056,-68356.9511067424,2090722.358240365,-4519248138.10422,-4450094945.224074,2090972832.6356792,-4519789556691.057,-4450628079064.683,2059008916.7227771,-4450697232257.5625,-4382593000149.045,2508.0,-5421224.05,-5338268.890000001,-685867.0,0.0011995853921564,144949.0,8.275913543083687e-09,1.7352777941573795e-09,2.0925492171885857e-12,0.2096780959737766,0.0805248742661211,149.75336290695347,147.46413952493634,3942.0,7.131227058206608,6.905610907184059,6.927635028841111,-2.157642894598846,1.188515993707394,93538.0,0.5414457384982287,0.0068255385180117,6.529021558872305,0.5463502636691646,-1.9698862059394948,0.5660675772825305,-2.04097771387491,0.0227893676630623,0.8390388756396304,0.0271612774148148,1.1918398885125112,0.4412724475505177,0.0264430503875448,26.16733067729084,31.29482071713148,1.0033175292494472,1.1918398885125112,0.2042821528083296,-5579.124945006599,18999.0,1768.0,-325.0,-524.7251796451092,0.0691195461185087,5280.7059724349165,0.3442267482382095,1060.347581552306,0.1432656463451341,0.0257299312324897,38.8652418447694,0.0694943872924549,0.0475207936881267,828.969971,831.640015,827.390015,829.559998,829.559998,1401893
2017-06-30,0.6011918492887351,0.1682814302191465,-9059.0,0.1354863514033064,0.0197289232509055,0.0237648867728578,0.0950595470914314,0.0231475095407938,0.0258353341336534,634185274.209312,35327770.893856,4132.0,417.0,4377.0,5835.0,2120.0,6080.0,299143.9972685434,16664.042874460374,104306.78852126842,5810.488633857895,108686.42231522057,6054.459450532305,0.0050976937420167,-0.0021655072451189,0.007723208538203,-5.084902306257983,-5.004902306257982,7.711552213393871,-5077.227869835415,-4997.348610584562,7.590349035187287,-4997.428610584563,-4918.804821027241,179.96176907188195,183.111773253493,180.23378860510803,3.765788589952396e-07,3.7714807325655183e-10,3.8317039777961056e-10,-0.5150397275822929,998.4907406356414,982.7973694665152,246591.5406338249,-0.0023605089251976,8.418675451990819e-06,-0.0055427924818699,-0.0054555885648932,0.0084059694872294,-5.534426970411981,-5.447354666763577,0.0082738520886089,-5.447441870680554,-5.361738090468667,-1128054.1961966744,4023167.2368029696,-2648822993.6674457,-2607149461.5658345,4017095233.976444,-2644825232759.725,-2603214596826.684,3953958177.253827,-2603256270358.786,-2562299632632.9443,5339.0,-3515157.37,-3459853.93,-687769.0,0.0013270638990992,148286.0,8.94935394507387e-09,1.9196836928758487e-09,2.0925492171885853e-12,0.2145052821307318,-0.0489594432380669,94.916077579812,93.42427282413712,4172.0,6.014771206850415,5.818356970832219,5.886432967621087,-1.9545624832753543,0.8408348943002408,93701.0,0.5245799765984963,0.0096175522815579,1.865566037735849,0.6504934210526315,-1.9335526315789475,0.6778063410454156,-2.014738646101114,0.0221418534214901,0.8301711444902895,0.0266714322323078,1.2045708967805455,0.4466706229853122,0.0259785471719182,16.86530612244898,27.93061224489796,1.0025286268056706,1.2045708967805455,0.194882339501942,-5948.26593557231,19726.0,3584.5,-2760.0,-2957.253826822024,0.0696609293048681,5239.665959703075,0.523673498536028,696.99918178099,0.1456155771157926,0.0410534035751675,24.358516296195283,0.1107118592888956,0.0782595703354286,926.049988,926.049988,908.309998,908.72998,908.72998,2090226
2017-09-30,0.5985885064093331,0.2873037591819098,-21040.0,0.2424024197032983,0.0355183184197197,0.0428516868236791,0.1714067472947167,0.0417970496200268,0.0460901547591549,660568477.4303025,37848577.6979325,7782.0,9.71,7979.0,-3375.57,-11147.86,-3178.57,-59255.18237852848,-3395.14289719574,-207819.3896721804,-11907.42305437115,-195690.9432867049,-11212.499725359718,0.0097382730622181,-0.0116376124161534,-0.0060828042523213,-9.700261726937782,-9.560261726937782,-6.065144087938206,-9672.099022771838,-9532.50548382353,-5.977696078431373,-9532.645483823531,-9395.064622058824,98.12365974900511,99.84900653082548,98.4093710092688,2.0532858739545981e-07,2.0592645226946647e-10,2.0893896045313688e-10,1.6246286393345215,997.0967067736186,982.7204411764706,242933.4607050206,-0.0121789038909275,-6.365729131305203e-06,-0.0101514426726599,-0.0100049309584218,-0.0063472475530373,-10.121970057910442,-9.975883710139822,-0.0062557321403261,-9.976030221854062,-9.83205016540042,-5820127.809127635,-3042092.907070442,-4851232453.351228,-4781216554.544797,-3033260819.3393216,-4837147903029.8125,-4767335280908.124,-2989526883.7360773,-4767405296806.932,-4698599241842.508,-4205.0,-6705723.03,-6608942.01,-684561.0,0.0013822720503462,157100.0,8.798676323018685e-09,1.9995458515365204e-09,2.0925492171885857e-12,0.2272553027442777,0.2784723106301718,170.90910324633992,168.44491432208784,4205.0,5.767409268834872,5.578601459430725,5.767409268834872,-2.141545450152225,0.5113323346059053,98652.0,0.5204921492486916,0.0066644838985646,-0.3555839416713163,-1.2471016840906444,2.081753744608424,-1.1743201888866177,1.9602615262015008,0.0209142326523721,0.828866283977714,0.0252323360916613,1.2064672183322724,0.4467918523233609,0.0246113346247454,39.50253807106599,96.09137055837564,1.00147599987457,1.2064672183322724,0.1562852487780424,-15882.592529765634,11881.215,9558.5,-9158.785,-9324.996805990726,0.0681168275693511,5358.440975959813,0.3031709709055247,1203.9411257278412,0.1465262535877089,0.0244650092858348,40.87470347207246,0.0660626006183128,0.0470036086445282,952.0,959.786377,951.51001,959.109985,959.109985,1580994
2017-12-31,0.5888051959767263,0.2453024220829011,-110837.0,0.1142212800505164,0.0641780075521427,0.083028419299419,0.3321136771976761,0.080922343437442,0.151035167983733,723479600.3517675,42120900.2193825,26146.0,18.27,27193.0,-19455.27,-45583.0,-18408.27,-15871.697789784954,-924.048443923886,-39301.87901154033,-2288.1509353884157,-37186.81880805394,-2165.0123703954,0.018316401294386,0.0164358672805886,-0.018316401294386,-18.25168359870561,-17.981683598705615,-18.27,-18205.44625491233,-17936.130251145158,-18.0,-17936.400251145158,-17671.06428684252,57.13786134510879,58.14222208333334,57.282977422003285,1.1956378702953733e-07,1.198674495626444e-10,1.2166546130608406e-10,2.0,997.4666806191756,982.7257937134734,706719.3267619517,0.0157046584236454,-1.7501530096831384e-05,-0.0174396916013461,-0.017181703525512,-0.0174571931314429,-17.39551129261687,-17.138176782975272,-0.0171992050556088,-17.138434771051106,-16.884903234458395,7505036.581526708,-8363736.419229994,-8334184667.24382,-8210895774.578849,-8342548403.66305,-8313071515702.92,-8190094953179.177,-8219259510.998078,-8190218242071.842,-8069059067171.604,-12662.0,-12617261.11,-12430612.0,-678631.0,0.001513916671368,152502.0,9.927192242514864e-09,2.189978303509513e-09,2.0925492171885853e-12,0.2206039985939391,0.6642273543953522,331.2723271825943,326.37667702718653,16625.0,5.140305173055452,4.970723235330604,5.140305173055452,-1.8168134640036389,0.4430798494810404,100125.0,0.5074887858283281,0.00751617104793,-0.0870719347125024,-0.2156096145917025,0.3664657243727954,-0.2040064208823624,0.3467440955586841,0.0201170835550824,0.7729643427354976,0.0260258881850729,1.2937207380886808,0.478597002006531,0.0253657227217823,24.972301814708693,24.989751671442217,1.0226781054018028,1.2937207380886808,0.5343654616997021,-42404.99285698525,68441.5,5524.635000000002,-29751.5,-30239.01936160041,0.2709338817431825,1347.1921549700546,1.2271487783595114,297.4374472245678,0.5618743505917535,0.1140474923338148,8.768276965468202,0.3082877772754052,0.224729088639201,1046.719971,1049.699951,1044.900024,1046.400024,1046.400024,887511
2018-03-31,0.5676170294740898,0.3385025364412766,-21745.0,0.3018365119116419,0.0454297243095658,0.0584548422198041,0.2338193688792165,0.0565892359459931,0.0385642912620289,709866754.2152259,42387683.682714,7001.0,13.53,10543.0,-6479.33,-13466.8,-2937.33,-52712.35588374565,-3147.569109418273,-241670.7534445316,-14430.684901837383,-109558.66643854008,-6541.985619302304,0.0135308434432045,-0.0019214632482372,-0.0072526242006497,-13.516469156556797,-13.316469156556796,-7.252172109350069,-13515.626609371342,-13315.639076342944,-7.144970747792788,-13315.839076342942,-13118.807752228488,75.50970686259184,76.64741350337584,75.5144140428677,1.5642437095333637e-07,1.5643412225213236e-10,1.5878122086056642e-10,1.5360068077864055,999.9376651420062,985.1566205722796,667472.3904747819,-0.0018806346290662,-7.0985152778012975e-06,-0.0132292615962582,-0.0130335113386572,-0.0070980727928594,-13.228436952115306,-13.03269889657884,-0.0069931493221594,-13.03289464683644,-12.84004998458211,-907826.3744387544,-3426619.5511587146,-6386074363.310072,-6291581130.0648775,-3426405953.3155937,-6385676288271.496,-6291188945248.577,-3375756937.00642,-6291283438481.822,-6198192804151.038,-5039.0,-9391012.99,-9252056.39,-685382.0,0.0014705455113323,160825.0,9.143761923409393e-09,2.1165536740713512e-09,2.0715796346288078e-12,0.2314751512342702,0.3591481423907974,233.80479378206124,230.3486992693922,5039.0,4.873631566511775,4.712215483972592,4.873631566511775,-2.116208553201544,0.4984642041427108,98367.0,0.4753521637229081,0.0080098146448746,-0.3937089731784834,-1.8050406321387111,2.504315143344466,-0.8182944841519108,1.1353025698644768,0.0256215719912049,0.7771764080508372,0.0329675112700139,1.2867091559148145,0.517170837867247,0.0241083022852219,1.97656691134952,5.778656126482214,1.0140931833619924,1.2867091559148145,0.10831831546998,-4698.6005468083085,26435.335,12552.0,4690.334999999999,1531.9984733946694,0.0758704225352112,4810.833890250241,0.3361149192346665,1085.9381095938995,0.1505110300335854,0.0272501026892502,36.69710941656322,0.0677976290667756,0.0573261357975743,1011.630005,1043.0,1002.900024,1031.790039,1031.790039,2726830
2018-06-30,0.5748844045686989,0.1290688060752671,-29462.0,0.0978350736442416,0.0150985303152024,0.0197222222222222,0.0788888888888888,0.0192491911724836,0.0154479464192353,776645815.312396,47220281.981916,2807.0,4.6,4215.0,-11080.54,-13882.94,-9672.54,-55942.45997694984,-3401.3171548617224,-80293.88509247788,-4881.890587365469,-70090.97167758936,-4261.550608717264,0.0045985581109497,-0.0064926746912345,-0.0073605715741461,-4.59540144188905,-4.53540144188905,-7.362879499217526,-4596.842341158059,-4536.823528012519,-7.266841940532081,-4536.88352801252,-4477.647568951486,243.08163233564824,246.2169629955947,243.0054373913044,5.035629590988563e-07,5.034051152038917e-10,5.100580462418288e-10,2.600625978090767,1000.3135524256652,987.2659843505476,192904.03982576227,-0.0058083104435263,-6.584726137928081e-06,-0.0041110204124588,-0.0040573447482395,-0.0065867907947809,-4.112309432881127,-4.0586169385271536,-0.0065008761322403,-4.0586706141913735,-4.005678456720278,-2803807.464812748,-3178601.501895897,-1984485821.2247624,-1958575321.1783204,-3179598160.1070395,-1985108061567.705,-1959189437221.1235,-3138125140.6273828,-1959215347721.1704,-1933634792387.8044,-5114.0,-3192806.8,-3151119.82,-691588.0,0.0016088836543208,162000.0,9.931380582227441e-09,2.3156635299379024e-09,2.0715796346288078e-12,0.2331663267523817,0.2051604938271605,78.91362469135802,77.88431654320986,5114.0,4.151991438986055,3.989465939872254,4.151991438986055,-1.8814834631976725,0.473129786309066,94254.0,0.4454137328103587,0.0162899990727681,-0.2867548228257127,-0.4115775173842651,1.0511199746912392,-0.359278518916948,0.9175545596153256,0.01881291054298,0.7655592835877322,0.024574074074074,1.3062345679012346,0.5398333333333334,0.0239846729444936,1.9936079545454544,11.853693181818182,1.0110017101693312,1.3062345679012346,0.2419928825622775,-3416.7831672597868,29236.73,14875.0,-225.27000000000044,-1292.5440213523125,0.0769486584007227,4743.422531153209,0.6368010326820396,573.1774624527781,0.1543263550871887,0.051287746325788,19.49783470008293,0.1241009456508067,0.1151463067880408,1120.0,1128.22644,1115.0,1115.650024,1115.650024,1315121
2018-09-30,0.5767338470657972,0.2988441019561351,-24548.0,0.2724362774155305,0.0414917531078189,0.0541215261422515,0.2164861045690061,0.0528804666735701,0.0436823541161814,828646828.798689,51417195.637113,8310.0,13.21,10083.0,-5984.06,-14280.85,-4211.06,-58025.03554050977,-3600.429640890633,-196778.6801419806,-12210.036341708024,-138475.68854568453,-8592.359641633439,0.0132300300957277,-0.0121275275877504,-0.0075304087751139,-13.196769969904272,-13.046769969904274,-7.519007832898172,-13176.79022958007,-13027.017327654485,-7.433629242819843,-13027.167327654484,-12879.09510213229,90.14869764998792,91.3223570444104,90.2853885692657,1.867502061400248e-07,1.870333722646393e-10,1.8918153503950118e-10,1.5691906005221932,998.4860128372496,987.1481701479548,311465.5653780182,-0.0101683850190018,-6.313908191243509e-06,-0.0110648965413798,-0.0109391283052893,-0.0063043490152951,-11.048144430059049,-10.92256660546347,-0.0062327629174682,-10.922692373699558,-10.798540489580084,-4908517.562649181,-3047871.337263294,-5341284668.191142,-5280573395.504279,-3043256899.1849627,-5333198031770.906,-5272578675171.525,-3008700613.4258604,-5272639386444.212,-5212708364704.021,-5232.0,-9168891.43,-9064673.98,-685591.0,0.0017166078948391,169840.0,1.0107206163678217e-08,2.470710847615886e-09,2.0715796346288078e-12,0.2444504255285463,0.339707960433349,216.15834738577485,213.7038619877532,5232.0,4.143701479185968,3.9715344557681855,4.143701479185968,-1.9327178045429856,0.4294750966422798,98401.0,0.4441721059141095,0.0074480325733972,-0.2791150386706673,-0.9465550241506888,2.245752850826157,-0.6661029468287416,1.580365170135326,0.0179923985952748,0.7666404860565682,0.023469147432878,1.3043923692887422,0.5407206782854451,0.0229309769539654,4.686971235194585,12.741680767061478,1.0047596182670109,1.3043923692887422,0.0883665575721511,-11187.487322225528,22540.47,17921.5,-2007.5300000000009,-3623.856093424576,0.0750849115132651,4861.16308381766,0.3306140693971056,1104.0062531688357,0.1522989284005453,0.0267087361987559,37.44093290518844,0.0644300709961235,0.0601315027286308,1191.869995,1195.410034,1184.5,1193.469971,1193.469971,1380629
